hour,open,high,low,close,volume
2018/07/05 09:00:00,467.19,468.11,461.54,466.55,6811.77902
2018/07/05 10:00:00,466.33,476.6,465.44,473.69,7315.08583
2018/07/05 11:00:00,473.52,475.03,468.29,470.05,7669.86855
2018/07/05 12:00:00,470.16,473.02,469.4,470.57,6671.860720000002
2018/07/05 13:00:00,470.8,473.71,469.67,472.8,4164.65268
2018/07/05 14:00:00,472.67,475.72,469.13,471.42,8308.44415
2018/07/05 15:00:00,471.43,472.79,469.76,470.99,5401.19046
2018/07/05 16:00:00,470.99,472.99,470.02,472.03,4636.09651
2018/07/05 17:00:00,472.02,473.44,470.63,473.24,2708.60509
2018/07/05 18:00:00,472.99,475.65,469.52,474.61,6340.442520000001
2018/07/05 19:00:00,474.64,477.76,471.86,476.33,4311.93781
2018/07/05 20:00:00,476.33,480.0,472.28,472.81,4805.84985
2018/07/05 21:00:00,472.81,477.3,470.22,476.61,4765.30109
2018/07/05 22:00:00,476.58,477.5,469.19,471.7,6436.99143
2018/07/05 23:00:00,471.44,471.89,466.5,468.0,7697.0605
2018/07/06 00:00:00,467.9,472.43,464.39,471.96,6901.243820000002
2018/07/06 01:00:00,471.96,474.77,469.23,470.28,3587.46885
2018/07/06 02:00:00,470.28,471.8,465.39,468.24,4230.48722
2018/07/06 03:00:00,468.22,469.46,460.2,462.38,7416.36288
2018/07/06 04:00:00,462.32,464.4,458.8,462.75,6807.3374
2018/07/06 05:00:00,462.68,464.75,461.43,463.51,2758.79361
2018/07/06 06:00:00,463.95,464.81,462.67,463.95,1504.38881
2018/07/06 07:00:00,463.72,467.88,462.3,467.36,2398.27839
2018/07/06 08:00:00,467.36,470.56,465.54,467.87,2156.48111
2018/07/06 09:00:00,467.79,469.52,466.46,466.92,1994.63933
2018/07/06 10:00:00,466.92,468.25,465.3,465.83,2287.08172
2018/07/06 11:00:00,465.84,470.51,465.49,470.12,3462.16345
2018/07/06 12:00:00,470.35,470.41,466.94,468.0,2407.59059
2018/07/06 13:00:00,468.0,468.69,465.15,467.34,4763.219
2018/07/06 14:00:00,467.12,468.71,463.24,463.24,2743.08217
2018/07/06 15:00:00,463.48,463.87,455.63,455.98,6491.22501
2018/07/06 16:00:00,456.0,458.93,451.29,456.99,13359.244840000001
2018/07/06 17:00:00,456.99,464.07,456.03,459.24,8238.31742
2018/07/06 18:00:00,459.24,461.24,455.65,457.0,7055.9301099999975
2018/07/06 19:00:00,457.25,462.5,456.56,461.9,3756.26406
2018/07/06 20:00:00,461.9,463.96,460.74,463.22,3320.3878
2018/07/06 21:00:00,463.03,470.56,463.03,470.2,8750.52543
2018/07/06 22:00:00,470.2,470.29,466.51,467.49,4189.39899
2018/07/06 23:00:00,467.69,469.0,466.4,467.67,2756.74903
2018/07/07 00:00:00,467.81,469.18,466.05,467.93,2908.43072
2018/07/07 01:00:00,467.94,468.66,465.98,467.07,1863.74628
2018/07/07 02:00:00,467.07,476.0,466.65,471.58,7230.33131
2018/07/07 03:00:00,471.64,474.19,467.88,469.98,4539.10756
2018/07/07 04:00:00,470.1,471.17,468.63,469.16,1359.0127400000001
2018/07/07 05:00:00,468.94,471.0,468.17,468.95,1813.9113300000001
2018/07/07 06:00:00,468.89,469.42,467.39,469.23,821.53598
2018/07/07 07:00:00,469.41,471.32,465.1,466.8,2497.91498
2018/07/07 08:00:00,466.55,470.76,466.32,470.47,1818.83817
2018/07/07 09:00:00,470.48,471.32,468.26,469.06,1462.5461699999994
